IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
193.122.116.9,1,1,0.00,81.65,40.95
129.154.207.203,1,1,0.00,104.99,39.68
158.178.239.198,1,1,0.00,109.63,33.05
132.145.94.80,1,1,0.00,101.93,32.66
8.212.48.236,1,1,0.00,117.10,30.60
193.122.125.223,1,1,0.00,88.19,30.44
144.24.95.214,1,1,0.00,109.23,26.33
168.138.162.187,1,1,0.00,96.29,7.01
168.138.212.80,1,1,0.00,91.55,6.85
193.122.107.147,1,1,0.00,77.86,5.04
